ColName A, ColName B, ColName C
0.8621406811870749,0.0200448253647334,0.9910717823331567
0.759687654170238,0.2777026415288646,0.818276693051891
0.6133722764418132,0.6411870137418529,0.5210104948169805
0.17690122448476497,0.5602440046679817,0.40534648240601334
0.5887540737973196,0.3570137330098957,0.059494883303609525
0.6973033198492495,0.9271826850713023,0.48561715511158865
0.744194830173514,0.155434876769883,0.2698668845225085
0.22843786715352188,0.19091748896622462,0.6545001150161487
0.5835365124883996,0.9941795784685694,0.123226555623271
0.4464515053522582,0.7055392537488441,0.024944117300115476
